PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
KANBI1021-19	Frenulina sanguinolenta	COI-5P		KANBI/BKON_1514_jgHCO2198_A11+1549482301.ab1
KANBI1021-19	Frenulina sanguinolenta	COI-5P		KANBI/BKON_1514_jgLCO1490_A11+1549476862.ab1
LABBI077-09	Hemithiris psittacea	COI-5P		LABBI/LABBI077-09[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
LABBI077-09	Hemithiris psittacea	COI-5P		LABBI/LABBI077-09[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
NNMX091-08	Hemithiris	COI-5P		NNMX/NNMX091-08[LCO1490_t1,MLepR1]_R+1258130468.ab1
NNMX091-08	Hemithiris	COI-5P		NNMX/NNMX091-08_R+1220695276.ab1
NNMX091-08	Hemithiris	COI-5P		NNMX/NNMX091-08_F+1220689803.ab1
NNMX091-08	Hemithiris	COI-5P		NNMX/NNMX091-08[LCO1490_t1,MLepR1]_F+1258126791.ab1
NNMX204-08	Hemithiris psittacea	COI-5P		NNMX/NNMX204-08[LCO1490_t1,HCO2198_t1]_R+1249468908.ab1
NNMX204-08	Hemithiris psittacea	COI-5P		NNMX/NNMX204-08[LCO1490_t1,HCO2198_t1]_F+1249463740.ab1
NNMX335-08	Hemithiris psittacea	COI-5P		NNMX/NNMX335-08[dgLCO-1490,dgHCO-2198]_F+1323809874.ab1
NNMX335-08	Hemithiris psittacea	COI-5P		NNMX/NNMX335-08[dgLCO-1490,dgHCO-2198]_R+1323815047.ab1
OPQCS125-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS125-10~F1+1285850342.ab1
OPQCS125-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS125-10~R1+1285856437.ab1
ABBAK049-17	Glottidia	COI-5P		ABBAI/0233139841-01R+1510014838.ab1
ABBAK049-17	Glottidia	COI-5P		ABBAI/0233139841-01F+1510020294.ab1
CCSMA054-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA054-07[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
CCSMA054-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA054-07[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
DSECH064-07	Hemithiris psittacea	COI-5P		SANOA/DSECH064-07~F1_1+1180698974.ab1
DSECH064-07	Hemithiris psittacea	COI-5P		SANOA/DSECH064-07~R1_1+1180705643.ab1
NNMX207-08	Hemithiris psittacea	COI-5P		NNMX/NNMX207-08[LCO1490_t1,HCO2198_t1]_R+1249468908.ab1
NNMX207-08	Hemithiris psittacea	COI-5P		NNMX/NNMX207-08[LCO1490_t1,HCO2198_t1]_F+1249463740.ab1
