PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
DSECH002-07	Hemithiris psittacea	COI-5P		SANOA/DSECH002-07~R1_1+1180705643.ab1
DSECH013-07	Hemithiris psittacea	COI-5P		SANOA/DSECH013-07~F1_1+1180698974.ab1
DSECH013-07	Hemithiris psittacea	COI-5P		SANOA/DSECH013-07~R1_1+1180705643.ab1
DUTCH700-19	Rhynchonellata	COI-5P		DUTCH/B10_1523848_Brachiopod_jgRevrev+1556908172.ab1
MOLNZ168-09	Neothyris lenticularis	COI-5P		MOLNZ/MOLNZ168-09[LCO1490_t1,HCO2198_t1]_R+1250079286.ab1
MOLNZ168-09	Neothyris lenticularis	COI-5P		MOLNZ/MOLNZ168-09[LCO1490_t1,HCO2198_t1]_F+1250007949.ab1
MOLNZ169-09	Neothyris lenticularis	COI-5P		MOLNZ/MOLNZ169-09[LCO1490_t1,HCO2198_t1]_R+1250079286.ab1
NNMX205-08	Hemithiris psittacea	COI-5P		NNMX/NNMX205-08[LCO1490_t1,HCO2198_t1]_F+1249463740.ab1
NNMX205-08	Hemithiris psittacea	COI-5P		NNMX/NNMX205-08[LCO1490_t1,HCO2198_t1]_R+1249468908.ab1
NNMX206-08	Hemithiris psittacea	COI-5P		NNMX/NNMX206-08[LCO1490_t1,HCO2198_t1]_R+1249468908.ab1
NNMX206-08	Hemithiris psittacea	COI-5P		NNMX/NNMX206-08[LCO1490_t1,HCO2198_t1]_F+1249463740.ab1
OPQCS124-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS124-10~R1+1285856437.ab1
OPQCS124-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS124-10~F1+1285850342.ab1
ABBAI1254-16	Glottidia	16S		ABBAI/0199442474-02F+1500917464.ab1
ABBAI1254-16	Glottidia	16S		ABBAI/0199442474-02R+1500923916.ab1
